id,superhero_name,real_name,publisher,alignment,gender,race,occupation,intelligence,strength,speed,durability,power,combat,image_url,api_url
127,Boba Fett,,George Lucas,bad,Male,Human / Clone,Bounty Hunter,63,10,38,36,68,70,https://www.superherodb.com/pictures2/portraits/10/100/10467.jpg,https://akabab.github.io/superhero-api/api/id/127.json
128,Bolt,,Marvel Comics,good,Male,null,-,null,null,null,null,null,null,https://www.superherodb.com/pictures2/portraits/10/100/1340.jpg,https://akabab.github.io/superhero-api/api/id/128.json
129,Bomb Queen,,Image Comics,bad,Female,null,-,null,73,null,null,null,null,https://www.superherodb.com/pictures2/portraits/10/100/1116.jpg,https://akabab.github.io/superhero-api/api/id/129.json
130,Boom-Boom,Tabitha Smith,Meltdown,good,Female,Mutant,"Adventurer, former student, thief",38,10,12,42,57,64,https://www.superherodb.com/pictures2/portraits/10/100/400.jpg,https://akabab.github.io/superhero-api/api/id/130.json
131,Boomer,,Marvel Comics,good,Female,null,-,null,null,null,null,null,null,https://www.superherodb.com/pictures2/portraits/10/100/259.jpg,https://akabab.github.io/superhero-api/api/id/131.json
132,Booster Gold,Michael Jon Carter,DC Comics,good,Male,Human,"Superhero, Founder, C.E.O & Chairman of Booster Gold International",69,85,42,70,100,40,https://www.superherodb.com/pictures2/portraits/10/100/647.jpg,https://akabab.github.io/superhero-api/api/id/132.json
133,Box,Roger Bochs,Marvel Comics,good,Male,null,-,null,null,null,null,null,null,https://www.superherodb.com/pictures2/portraits/10/100/864.jpg,https://akabab.github.io/superhero-api/api/id/133.json
134,Box III,Dr. Walter Langowski,Marvel Comics,good,-,null,"Physics professor, former NFL player",null,null,null,null,null,null,https://www.superherodb.com/pictures2/portraits/10/100/37.jpg,https://akabab.github.io/superhero-api/api/id/134.json
135,Box IV,Madison Jeffries,Gemini V,good,-,null,"Inventor, former soldier",50,75,23,28,11,56,https://www.superherodb.com/pictures2/portraits/10/100/38.jpg,https://akabab.github.io/superhero-api/api/id/135.json
136,Brainiac,Vril Dox,DC Comics,bad,Male,Android,-,100,95,63,90,60,75,https://www.superherodb.com/pictures2/portraits/10/100/648.jpg,https://akabab.github.io/superhero-api/api/id/136.json
137,Brainiac 5,Querl Dox,DC Comics,good,Male,null,-,100,10,23,28,60,32,https://www.superherodb.com/pictures2/portraits/10/100/1183.jpg,https://akabab.github.io/superhero-api/api/id/137.json
138,Brother Voodoo,Jericho Drumm,Marvel Comics,good,Male,Human,Psychologist Houngan (voodoo priest),null,65,null,null,null,null,https://www.superherodb.com/pictures2/portraits/10/100/39.jpg,https://akabab.github.io/superhero-api/api/id/138.json
139,Brundlefly,Seth Brundle,,-,Male,Mutant,Scientist,69,32,25,40,27,15,https://www.superherodb.com/pictures2/portraits/10/100/10642.jpg,https://akabab.github.io/superhero-api/api/id/139.json
140,Buffy,Buffy Anne Summers,Dark Horse Comics,good,Female,Human,Slayer ; (formerly) Waitress ; DoubleMeat Palace employee ; Sunnydale High Counselor,63,28,42,70,48,60,https://www.superherodb.com/pictures2/portraits/10/100/10430.jpg,https://akabab.github.io/superhero-api/api/id/140.json
141,Bullseye,Lester,Marvel Comics,bad,Male,Human,"Assassin, professional criminal, former mercenary",50,11,25,70,20,70,https://www.superherodb.com/pictures2/portraits/10/100/624.jpg,https://akabab.github.io/superhero-api/api/id/141.json
142,Bumblebee,Karen Beecher,DC Comics,good,Female,Human,-,63,28,25,10,47,35,https://www.superherodb.com/pictures2/portraits/10/100/1542.jpg,https://akabab.github.io/superhero-api/api/id/142.json
143,Bumbleboy,,Marvel Comics,good,Male,null,-,null,null,null,null,null,null,https://www.superherodb.com/pictures2/portraits/10/100/1346.jpg,https://akabab.github.io/superhero-api/api/id/143.json
144,Bushido,Ryuko Orsono,DC Comics,good,Male,Human,-,38,10,8,10,19,70,https://www.superherodb.com/pictures2/portraits/10/100/1541.jpg,https://akabab.github.io/superhero-api/api/id/144.json
145,Cable,Nathan Summers,Marvel Comics,good,Male,Mutant,"(current) Adventurer, (former) freedom fighter, United States government agent, mercenary, combat instructor for X-Force",88,48,23,56,100,80,https://www.superherodb.com/pictures2/portraits/10/100/40.jpg,https://akabab.github.io/superhero-api/api/id/145.json
146,Callisto,Callisto,Marvel Comics,bad,Female,null,-,63,53,23,42,52,85,https://www.superherodb.com/pictures2/portraits/10/100/271.jpg,https://akabab.github.io/superhero-api/api/id/146.json
147,Cameron Hicks,,SyFy,good,Male,Alpha,-,50,10,23,28,51,70,https://www.superherodb.com/pictures2/portraits/10/100/1528.jpg,https://akabab.github.io/superhero-api/api/id/147.json
148,Cannonball,Samuel Zachery Guthrie,Marvel Comics,good,Male,null,"Adventurer, peacekeeper, former student, mercenary, miner",50,28,67,99,94,56,https://www.superherodb.com/pictures2/portraits/10/100/272.jpg,https://akabab.github.io/superhero-api/api/id/148.json
149,Captain America,Steve Rogers,Marvel Comics,good,Male,Human,"Adventurer, federal official, intelligence operative; former soldier, Hydra agent, liaison between S.H.I.E.L.D. and the Avengers, police officer, teacher, sparring partner.",69,19,38,55,60,100,https://www.superherodb.com/pictures2/portraits/10/100/274.jpg,https://akabab.github.io/superhero-api/api/id/149.json
150,Captain Atom,Nathaniel Adam,DC Comics,good,Male,Human / Radiation,Former Soldier,81,93,83,90,100,80,https://www.superherodb.com/pictures2/portraits/10/100/1007.jpg,https://akabab.github.io/superhero-api/api/id/150.json
151,Captain Britain,Brian Braddock,Marvel Comics,good,Male,Human,"Adventurer, formerly King of Otherworld, scientist",75,77,50,60,31,80,https://www.superherodb.com/pictures2/portraits/10/100/276.jpg,https://akabab.github.io/superhero-api/api/id/151.json
152,Captain Cold,Leonard Snart,DC Comics,neutral,Male,Human,Professional Criminal,50,10,17,20,28,20,https://www.superherodb.com/pictures2/portraits/10/100/653.jpg,https://akabab.github.io/superhero-api/api/id/152.json
153,Captain Epic,,Team Epic TV,good,Male,null,Superhero,null,null,null,null,null,null,https://www.superherodb.com/pictures2/portraits/10/100/3.jpg,https://akabab.github.io/superhero-api/api/id/153.json
154,Captain Hindsight,Jack Brolin,South Park,good,Male,Human,Former Superhero; News Reporter,25,10,83,30,10,20,https://www.superherodb.com/pictures2/portraits/10/100/10399.jpg,https://akabab.github.io/superhero-api/api/id/154.json
155,Captain Mar-vell,Mar-Vell,Marvel Comics,good,Male,null,"Captain in the Kree space fleet, later adventurer, later ""Protector of the Universe""",null,80,null,null,null,null,https://www.superherodb.com/pictures2/portraits/10/100/654.jpg,https://akabab.github.io/superhero-api/api/id/155.json
156,Captain Marvel,Billy Batson,DC Comics,good,Male,Human,-,88,100,88,95,100,75,https://www.superherodb.com/pictures2/portraits/10/100/278.jpg,https://akabab.github.io/superhero-api/api/id/156.json
157,Captain Marvel,Carol Danvers,Binary,good,Female,Human-Kree,"Former National Aeronautics and Space Administration security Chief, former magazine editor, former freelance writer, former military intelligence officer.",84,88,71,95,100,90,https://www.superherodb.com/pictures2/portraits/10/100/103.jpg,https://akabab.github.io/superhero-api/api/id/157.json
158,Captain Marvel II,Frederick Christopher Freeman,DC Comics,good,Male,Human,Adventurer,75,81,27,90,34,56,https://www.superherodb.com/pictures2/portraits/10/100/279.jpg,https://akabab.github.io/superhero-api/api/id/158.json
159,Captain Midnight,,Dark Horse Comics,good,Male,Human,-,null,null,null,null,null,null,https://www.superherodb.com/pictures2/portraits/10/100/10443.jpg,https://akabab.github.io/superhero-api/api/id/159.json
160,Captain Planet,,Marvel Comics,good,Male,God / Eternal,-,50,88,75,80,100,60,https://www.superherodb.com/pictures2/portraits/10/100/1285.jpg,https://akabab.github.io/superhero-api/api/id/160.json
161,Captain Universe,,Marvel Comics,good,-,God / Eternal,-,null,92,null,null,null,null,https://www.superherodb.com/pictures2/portraits/10/100/855.jpg,https://akabab.github.io/superhero-api/api/id/161.json
162,Carnage,Cletus Kasady,Marvel Comics,bad,Male,Symbiote,-,63,63,70,84,88,90,https://www.superherodb.com/pictures2/portraits/10/100/187.jpg,https://akabab.github.io/superhero-api/api/id/162.json
163,Cat,Shirlee Bryant,Marvel Comics,good,Female,null,Model,null,90,null,null,null,null,https://www.superherodb.com/pictures2/portraits/10/100/904.jpg,https://akabab.github.io/superhero-api/api/id/163.json
164,Cat II,,Marvel Comics,good,Female,null,-,null,null,null,null,null,null,https://www.superherodb.com/pictures2/portraits/10/100/903.jpg,https://akabab.github.io/superhero-api/api/id/164.json
165,Catwoman,Selina Kyle,DC Comics,good,Female,Human,Thief,69,11,33,28,27,85,https://www.superherodb.com/pictures2/portraits/10/100/659.jpg,https://akabab.github.io/superhero-api/api/id/165.json
166,Cecilia Reyes,Dr. Cecilia Reyes,Marvel Comics,good,-,null,Doctor in private practice,null,null,null,null,null,null,https://www.superherodb.com/pictures2/portraits/10/100/43.jpg,https://akabab.github.io/superhero-api/api/id/166.json
167,Century,,Marvel Comics,good,Male,Alien,"Tracker, adventurer",88,80,53,64,100,100,https://www.superherodb.com/pictures2/portraits/10/100/1511.jpg,https://akabab.github.io/superhero-api/api/id/167.json
168,Cerebra,Shakti Haddad,Marvel Comics,good,Female,Mutant,-,null,57,null,null,null,null,https://www.superherodb.com/pictures2/portraits/10/100/1512.jpg,https://akabab.github.io/superhero-api/api/id/168.json
169,Chamber,Jonothon Evan Starsmore,Marvel Comics,good,Male,Mutant,Adventurer,50,10,20,80,57,64,https://www.superherodb.com/pictures2/portraits/10/100/44.jpg,https://akabab.github.io/superhero-api/api/id/169.json
170,Chameleon,Dmitri Anatoly Smerdyakov Kravinoff,DC Comics,bad,Male,null,-,88,10,12,28,28,28,https://www.superherodb.com/pictures2/portraits/10/100/660.jpg,https://akabab.github.io/superhero-api/api/id/170.json
171,Changeling,Kevin Sidney,Marvel Comics,bad,Male,null,"Former substitute teacher, adventurer, subversive",63,10,23,42,64,64,https://www.superherodb.com/pictures2/portraits/10/100/1107.jpg,https://akabab.github.io/superhero-api/api/id/171.json
172,Cheetah,Priscilla Rich,DC Comics,bad,Female,Human,-,38,8,42,20,32,70,https://www.superherodb.com/pictures2/portraits/10/100/661.jpg,https://akabab.github.io/superhero-api/api/id/172.json
173,Cheetah II,Deborah Domaine,DC Comics,bad,Female,Human,-,38,20,42,20,39,60,https://www.superherodb.com/pictures2/portraits/10/100/925.jpg,https://akabab.github.io/superhero-api/api/id/173.json
174,Cheetah III,Barbara Minerva,DC Comics,bad,Female,Human,"Archaeologist, Anthropologist",88,100,88,80,78,95,https://www.superherodb.com/pictures2/portraits/10/100/926.jpg,https://akabab.github.io/superhero-api/api/id/174.json
175,Chromos,Bernard Embers,Team Epic TV,bad,Male,null,"Bar owner and Entertainer, President of V.E., Lieutenant in the G.V.W.",null,null,null,null,null,null,https://www.superherodb.com/pictures2/portraits/10/100/1001.jpg,https://akabab.github.io/superhero-api/api/id/175.json
176,Chuck Norris,Carlos Ray Norris,null,good,Male,null,-,50,80,47,56,42,99,https://www.superherodb.com/pictures2/portraits/10/100/954.jpg,https://akabab.github.io/superhero-api/api/id/176.json
177,Citizen Steel,Nathan Heywood,DC Comics,good,Male,Human,"Adventurer, former Professional Football Player",50,95,33,100,23,60,https://www.superherodb.com/pictures2/portraits/10/100/10661.jpg,https://akabab.github.io/superhero-api/api/id/177.json
178,Claire Bennet,Claire Bennet,NBC - Heroes,good,Female,null,"High school student, cheerleader",38,9,12,100,90,28,https://www.superherodb.com/pictures2/portraits/10/100/941.jpg,https://akabab.github.io/superhero-api/api/id/178.json
179,Clea,Clea,Marvel Comics,good,-,null,Former ruler and Sorceress Supreme of the Dark Dimension; former apprentice of Doctor Strange,null,39,null,null,null,null,https://www.superherodb.com/pictures2/portraits/10/100/45.jpg,https://akabab.github.io/superhero-api/api/id/179.json
180,Cloak,Tyrone Johnson,Marvel Comics,good,Male,null,Vigilante,63,10,47,64,100,56,https://www.superherodb.com/pictures2/portraits/10/100/46.jpg,https://akabab.github.io/superhero-api/api/id/180.json
181,Clock King,William Tockman,DC Comics,bad,Male,Human,-,75,10,17,10,7,40,https://www.superherodb.com/pictures2/portraits/10/100/10396.jpg,https://akabab.github.io/superhero-api/api/id/181.json
182,Cogliostro,Cain,Image Comics,bad,Male,null,-,null,null,null,null,null,null,https://www.superherodb.com/pictures2/portraits/10/100/1074.jpg,https://akabab.github.io/superhero-api/api/id/182.json
183,Colin Wagner,,HarperCollins,good,Male,null,-,null,null,null,null,null,null,https://www.superherodb.com/pictures2/portraits/10/100/1153.jpg,https://akabab.github.io/superhero-api/api/id/183.json
184,Colossal Boy,,DC Comics,good,Male,null,-,null,null,null,null,null,null,https://www.superherodb.com/pictures2/portraits/10/100/1182.jpg,https://akabab.github.io/superhero-api/api/id/184.json
185,Colossus,Piotr Nikolaievitch Rasputin,Marvel Comics,good,Male,Mutant,"(current) Adventurer, student, (former) Artist",63,83,33,100,45,80,https://www.superherodb.com/pictures2/portraits/10/100/48.jpg,https://akabab.github.io/superhero-api/api/id/185.json
186,Copycat,Vanessa Carlysle,Marvel Comics,neutral,Female,Mutant,-,56,10,21,25,54,60,https://www.superherodb.com/pictures2/portraits/10/100/10423.jpg,https://akabab.github.io/superhero-api/api/id/186.json
187,Corsair,Christopher Summers,Marvel Comics,good,Male,null,"Pirate, former pilot",null,16,null,null,null,null,https://www.superherodb.com/pictures2/portraits/10/100/49.jpg,https://akabab.github.io/superhero-api/api/id/187.json
188,Cottonmouth,Burchell Clemens,Marvel Comics,bad,Male,Human,Professional criminal,50,10,8,10,27,25,https://www.superherodb.com/pictures2/portraits/10/100/10452.jpg,https://akabab.github.io/superhero-api/api/id/188.json
189,Crimson Crusader,Rory Destine,Marvel Comics,good,Male,null,-,null,58,null,null,null,null,https://www.superherodb.com/pictures2/portraits/10/100/303.jpg,https://akabab.github.io/superhero-api/api/id/189.json
190,Crimson Dynamo,Anton Vanko,Marvel Comics,good,Male,null,Scientist,null,65,null,null,null,null,https://www.superherodb.com/pictures2/portraits/10/100/1093.jpg,https://akabab.github.io/superhero-api/api/id/190.json
191,Crystal,Crystallia Amaquelin,Marvel Comics,good,Female,Inhuman,"Mother, adventuress",63,16,12,14,61,56,https://www.superherodb.com/pictures2/portraits/10/100/305.jpg,https://akabab.github.io/superhero-api/api/id/191.json
192,Curse,Phillip Krahn,Image Comics,bad,Male,null,-,null,null,null,null,null,null,https://www.superherodb.com/pictures2/portraits/10/100/1066.jpg,https://akabab.github.io/superhero-api/api/id/192.json
193,Cy-Gor,,Image Comics,bad,Male,null,-,null,96,null,null,null,null,https://www.superherodb.com/pictures2/portraits/10/100/1075.jpg,https://akabab.github.io/superhero-api/api/id/193.json
194,Cyborg,Victor Stone,DC Comics,good,Male,Cyborg,"Adventurer, Teen Titan",75,53,42,85,71,64,https://www.superherodb.com/pictures2/portraits/10/100/1204.jpg,https://akabab.github.io/superhero-api/api/id/194.json
195,Cyborg Superman,Henry Henshaw,DC Comics,bad,Male,Cyborg,-,75,93,92,100,100,80,https://www.superherodb.com/pictures2/portraits/10/100/667.jpg,https://akabab.github.io/superhero-api/api/id/195.json
196,Cyclops,Scott Summers,Marvel Comics,good,Male,Mutant,"Leader of mutant race, adventurer, headmaster, former student, radio announcer",75,10,23,42,76,80,https://www.superherodb.com/pictures2/portraits/10/100/50.jpg,https://akabab.github.io/superhero-api/api/id/196.json
197,Cypher,Douglas Aaron Ramsey,Marvel Comics,good,-,null,"Student, Adventurer",null,44,null,null,null,null,https://www.superherodb.com/pictures2/portraits/10/100/168.jpg,https://akabab.github.io/superhero-api/api/id/197.json
198,Dagger,Tandy Bowen,Marvel Comics,good,Female,null,Vigilante,63,10,35,42,52,70,https://www.superherodb.com/pictures2/portraits/10/100/51.jpg,https://akabab.github.io/superhero-api/api/id/198.json
199,Danny Cooper,,HarperCollins,good,Male,null,-,null,null,null,null,null,null,https://www.superherodb.com/pictures2/portraits/10/100/1152.jpg,https://akabab.github.io/superhero-api/api/id/199.json
200,Daphne Powell,Daphne Powell,ABC Studios,good,Female,null,Student,38,10,8,10,56,10,https://www.superherodb.com/pictures2/portraits/10/100/1356.jpg,https://akabab.github.io/superhero-api/api/id/200.json
201,Daredevil,Matt Murdock,Marvel Comics,good,Male,Human,"Adventurer, vigilante, Attorney at Law",75,13,25,35,61,100,https://www.superherodb.com/pictures2/portraits/10/100/52.jpg,https://akabab.github.io/superhero-api/api/id/201.json
202,Darkhawk,Christopher Powell,Marvel Comics,good,Male,Human,Retired Superhero,50,32,33,70,74,64,https://www.superherodb.com/pictures2/portraits/10/100/53.jpg,https://akabab.github.io/superhero-api/api/id/202.json
203,Darkman,Peyton Westlake,Universal Studios,good,Male,null,Scientist,75,14,23,85,12,28,https://www.superherodb.com/pictures2/portraits/10/100/1126.jpg,https://akabab.github.io/superhero-api/api/id/203.json
204,Darkseid,Uxas,DC Comics,bad,Male,New God,Dictator of Apokolips,88,100,83,100,100,95,https://www.superherodb.com/pictures2/portraits/10/100/668.jpg,https://akabab.github.io/superhero-api/api/id/204.json
205,Darkside,,null,bad,-,null,-,null,null,null,null,null,null,https://www.superherodb.com/pictures2/portraits/10/100/840.jpg,https://akabab.github.io/superhero-api/api/id/205.json
206,Darkstar,Laynia Petrovna,Marvel Comics,good,Female,Mutant,Occupation unknown,38,8,35,42,79,64,https://www.superherodb.com/pictures2/portraits/10/100/169.jpg,https://akabab.github.io/superhero-api/api/id/206.json
207,Darth Maul,,George Lucas,bad,Male,Dathomirian Zabrak,-,56,48,50,30,100,100,https://www.superherodb.com/pictures2/portraits/10/100/10464.jpg,https://akabab.github.io/superhero-api/api/id/207.json
208,Darth Vader,Anakin Skywalker,George Lucas,bad,Male,Cyborg,"Sith Lord, Supreme Commander of the Imperial Fleet",69,48,33,35,100,100,https://www.superherodb.com/pictures2/portraits/10/100/10444.jpg,https://akabab.github.io/superhero-api/api/id/208.json
209,Dash,Dashiell Robert Parr,Dark Horse Comics,good,Male,Human,-,25,12,92,60,20,30,https://www.superherodb.com/pictures2/portraits/10/100/824.jpg,https://akabab.github.io/superhero-api/api/id/209.json
210,Data,Data,Star Trek,good,Male,Android,Lieutenant commander,100,32,21,40,56,50,https://www.superherodb.com/pictures2/portraits/10/100/10577.jpg,https://akabab.github.io/superhero-api/api/id/210.json
211,Dazzler,Alison Blaire,Marvel Comics,good,Female,Mutant,"Adventurer, singer, former actress, model, revolutionary",63,10,33,60,100,55,https://www.superherodb.com/pictures2/portraits/10/100/1043.jpg,https://akabab.github.io/superhero-api/api/id/211.json
212,Deadman,Boston Brand,DC Comics,good,Male,Human,"Wandering Spirit, Former Circus Aerialist",50,10,33,100,100,42,https://www.superherodb.com/pictures2/portraits/10/100/1472.jpg,https://akabab.github.io/superhero-api/api/id/212.json
213,Deadpool,Wade Wilson,Evil Deadpool,neutral,Male,Mutant,"Mercenary; former enforcer, government operative, sumo wrestler, soldier, assassin, anti-hero, others",69,32,50,100,100,100,https://www.superherodb.com/pictures2/portraits/10/100/835.jpg,https://akabab.github.io/superhero-api/api/id/213.json
214,Deadshot,Floyd Lawton,DC Comics,bad,Male,Human,-,50,10,23,28,55,80,https://www.superherodb.com/pictures2/portraits/10/100/670.jpg,https://akabab.github.io/superhero-api/api/id/214.json
215,Deathlok,Luther Manning,Marvel Comics,good,Male,Cyborg,-,69,32,30,70,40,60,https://www.superherodb.com/pictures2/portraits/10/100/1304.jpg,https://akabab.github.io/superhero-api/api/id/215.json
216,Deathstroke,Slade Joseph Wilson,DC Comics,neutral,Male,Human,"Mercenary; Former Soldier, Big-Game Hunter",75,30,35,100,47,90,https://www.superherodb.com/pictures2/portraits/10/100/672.jpg,https://akabab.github.io/superhero-api/api/id/216.json
217,Demogoblin,,Marvel Comics,bad,Male,Demon,Demonic Redeemer,50,48,42,35,67,60,https://www.superherodb.com/pictures2/portraits/10/100/1515.jpg,https://akabab.github.io/superhero-api/api/id/217.json
218,Destroyer,,Marvel Comics,bad,Male,null,-,50,95,58,98,85,70,https://www.superherodb.com/pictures2/portraits/10/100/1294.jpg,https://akabab.github.io/superhero-api/api/id/218.json
219,Diamondback,Willis Stryker,Marvel Comics,bad,Male,Human,Criminal,44,16,23,28,45,60,https://www.superherodb.com/pictures2/portraits/10/100/1404.jpg,https://akabab.github.io/superhero-api/api/id/219.json
220,DL Hawkins,Daniel Lawrence Hawkins,NBC - Heroes,good,Male,null,"Construction worker, Firefighter",50,12,12,56,48,56,https://www.superherodb.com/pictures2/portraits/10/100/943.jpg,https://akabab.github.io/superhero-api/api/id/220.json
221,Doc Samson,Leonard Samson,Marvel Comics,good,Male,Human / Radiation,"Psychiatrist, teacher, adventurer, former special consultant to Gamma Base",75,80,33,80,36,70,https://www.superherodb.com/pictures2/portraits/10/100/54.jpg,https://akabab.github.io/superhero-api/api/id/221.json
222,Doctor Doom,Victor von Doom,Marvel Comics,bad,Male,Human,Monarch,100,32,20,100,100,84,https://www.superherodb.com/pictures2/portraits/10/100/189.jpg,https://akabab.github.io/superhero-api/api/id/222.json
223,Doctor Doom II,Kristoff Vernard,Marvel Comics,bad,Male,null,-,null,null,null,null,null,null,https://www.superherodb.com/pictures2/portraits/10/100/1018.jpg,https://akabab.github.io/superhero-api/api/id/223.json
224,Doctor Fate,Kent Nelson,DC Comics,good,Male,Human,-,81,16,25,80,100,50,https://www.superherodb.com/pictures2/portraits/10/100/676.jpg,https://akabab.github.io/superhero-api/api/id/224.json
225,Doctor Octopus,Otto Octavius,Marvel Comics,bad,Male,Human,"Former atomic-research consultant, criminal mastermind",94,48,33,40,53,65,https://www.superherodb.com/pictures2/portraits/10/100/622.jpg,https://akabab.github.io/superhero-api/api/id/225.json
226,Doctor Strange,Stephen Strange,Marvel Comics,good,Male,Human,"Sorcerer Supreme, retired neurosurgeon",100,10,12,84,100,60,https://www.superherodb.com/pictures2/portraits/10/100/55.jpg,https://akabab.github.io/superhero-api/api/id/226.json
227,Domino,Neena Thurman,Marvel Comics,good,Female,Human,-,63,10,27,28,49,74,https://www.superherodb.com/pictures2/portraits/10/100/902.jpg,https://akabab.github.io/superhero-api/api/id/227.json
228,Donatello,,IDW Publishing,good,Male,Mutant,-,88,14,46,60,58,75,https://www.superherodb.com/pictures2/portraits/10/100/10330.jpg,https://akabab.github.io/superhero-api/api/id/228.json
229,Donna Troy,Donna Hinckley Stacey Troy,DC Comics,good,Female,Amazon,-,null,89,null,null,null,null,https://www.superherodb.com/pictures2/portraits/10/100/806.jpg,https://akabab.github.io/superhero-api/api/id/229.json
230,Doomsday,Doomsday,DC Comics,bad,Male,Alien,Destroyer,75,100,67,100,100,90,https://www.superherodb.com/pictures2/portraits/10/100/679.jpg,https://akabab.github.io/superhero-api/api/id/230.json
231,Doppelganger,,Marvel Comics,bad,Male,null,-,8,63,60,95,69,84,https://www.superherodb.com/pictures2/portraits/10/100/1320.jpg,https://akabab.github.io/superhero-api/api/id/231.json
232,Dormammu,Dormammu,Marvel Comics,bad,Male,null,"Despot, conqueror",88,95,83,100,100,80,https://www.superherodb.com/pictures2/portraits/10/100/1359.jpg,https://akabab.github.io/superhero-api/api/id/232.json
233,Dr Manhattan,Jonathan Osterman,DC Comics,good,Male,Human / Cosmic,Scientist,88,100,42,100,100,42,https://www.superherodb.com/pictures2/portraits/10/100/884.jpg,https://akabab.github.io/superhero-api/api/id/233.json
234,Drax the Destroyer,Arthur Sampson Douglas,Marvel Comics,good,Male,Human / Altered,-,56,80,25,85,46,65,https://www.superherodb.com/pictures2/portraits/10/100/10016.jpg,https://akabab.github.io/superhero-api/api/id/234.json
235,Ego,Ego,Marvel Comics,bad,-,null,Inapplicable,88,80,83,99,71,28,https://www.superherodb.com/pictures2/portraits/10/100/6.jpg,https://akabab.github.io/superhero-api/api/id/235.json
236,Elastigirl,Helen Parr,Dark Horse Comics,good,Female,Human,-,63,32,33,95,52,70,https://www.superherodb.com/pictures2/portraits/10/100/870.jpg,https://akabab.github.io/superhero-api/api/id/236.json
237,Electro,Maxwell Dillon,Marvel Comics,bad,Male,Human,Professional criminal,69,10,50,56,67,64,https://www.superherodb.com/pictures2/portraits/10/100/7.jpg,https://akabab.github.io/superhero-api/api/id/237.json
238,Elektra,Elektra Natchios,Marvel Comics,good,Female,Human,"Assassin, adventurer, mercenary, former student, dancer",63,11,30,28,59,100,https://www.superherodb.com/pictures2/portraits/10/100/625.jpg,https://akabab.github.io/superhero-api/api/id/238.json
239,Elle Bishop,,NBC - Heroes,bad,Female,null,Agent of the Company,50,8,12,42,63,42,https://www.superherodb.com/pictures2/portraits/10/100/1021.jpg,https://akabab.github.io/superhero-api/api/id/239.json
240,Elongated Man,Ralph Dibny,DC Comics,good,Male,null,Detective,75,10,33,90,44,40,https://www.superherodb.com/pictures2/portraits/10/100/1381.jpg,https://akabab.github.io/superhero-api/api/id/240.json
241,Emma Frost,Emma Frost,Marvel Comics,good,Female,null,-,75,63,35,90,100,42,https://www.superherodb.com/pictures2/portraits/10/100/325.jpg,https://akabab.github.io/superhero-api/api/id/241.json
242,Enchantress,June Moone,DC Comics,good,Female,Human,Artist; Magician,63,14,25,60,100,40,https://www.superherodb.com/pictures2/portraits/10/100/687.jpg,https://akabab.github.io/superhero-api/api/id/242.json
243,Energy,,HarperCollins,good,Female,null,-,null,null,null,null,null,null,https://www.superherodb.com/pictures2/portraits/10/100/1155.jpg,https://akabab.github.io/superhero-api/api/id/243.json
244,ERG-1,,DC Comics,good,Male,null,-,null,null,null,null,null,null,https://www.superherodb.com/pictures2/portraits/10/100/1187.jpg,https://akabab.github.io/superhero-api/api/id/244.json
245,Ethan Hunt,Ethan Hunt,null,good,Male,Human,"IMF Agent, Training Officer (former), Field Agent, Field Team Leader",75,11,29,30,26,95,https://www.superherodb.com/pictures2/portraits/10/100/10476.jpg,https://akabab.github.io/superhero-api/api/id/245.json
246,Etrigan,Jason Blood,DC Comics,neutral,Male,Demon,-,50,85,17,100,100,50,https://www.superherodb.com/pictures2/portraits/10/100/10429.jpg,https://akabab.github.io/superhero-api/api/id/246.json
247,Evil Deadpool,Wade Wilson,Deadpool,bad,Male,Mutant,"Mercenary, Assasin",69,32,50,100,100,100,https://www.superherodb.com/pictures2/portraits/10/100/10090.jpg,https://akabab.github.io/superhero-api/api/id/247.json
248,Evilhawk,Dargin Bokk,Marvel Comics,bad,Male,Alien,Crimelord,50,32,33,70,85,64,https://www.superherodb.com/pictures2/portraits/10/100/1516.jpg,https://akabab.github.io/superhero-api/api/id/248.json
249,Exodus,Bennet du Paris,Marvel Comics,bad,Male,Mutant,"Terrorist, would-be conqueror, Former leader of the Acolytes, Crusader",63,81,28,28,100,70,https://www.superherodb.com/pictures2/portraits/10/100/1517.jpg,https://akabab.github.io/superhero-api/api/id/249.json
250,Fabian Cortez,Fabian Cortez,Marvel Comics,bad,-,null,Unknown,null,null,null,null,null,null,https://www.superherodb.com/pictures2/portraits/10/100/24.jpg,https://akabab.github.io/superhero-api/api/id/250.json
251,Falcon,Sam Wilson,Marvel Comics,good,Male,Human,"Crimefighter, (former) freelance artist",38,13,50,28,22,64,https://www.superherodb.com/pictures2/portraits/10/100/56.jpg,https://akabab.github.io/superhero-api/api/id/251.json
252,Fallen One II,,Marvel Comics,bad,Male,null,-,88,85,83,100,100,56,https://www.superherodb.com/pictures2/portraits/10/100/1051.jpg,https://akabab.github.io/superhero-api/api/id/252.json
253,Faora,Faora Hu-Ul,DC Comics,bad,Female,Kryptonian,Serial killer,88,95,75,100,98,90,https://www.superherodb.com/pictures2/portraits/10/100/1502.jpg,https://akabab.github.io/superhero-api/api/id/253.json
254,Feral,Maria Callasantos,Marvel Comics,good,-,null,"Formerly Adventurer, Terrorist",38,28,45,28,27,70,https://www.superherodb.com/pictures2/portraits/10/100/57.jpg,https://akabab.github.io/superhero-api/api/id/254.json
